Front	Back	Tags
What is Angular?	A frontend framework for building client-side applications with TypeScript, using components, templates, dependency injection, routing, forms, HTTP, and reactive state tools.	angular overview fundamentals
What core question does Angular help answer?	How to build a user interface that stays synchronized with application state as the user interacts with it.	angular overview fundamentals
What are the main building blocks Angular provides for application structure?	Components, templates, dependency injection, routing, forms, HTTP utilities, and reactive tools such as RxJS and signals.	angular overview fundamentals
What is the core Angular mental model?	The UI is a function of application state.	angular mental-model fundamentals
What usually happens instead of manually editing the DOM in Angular?	You update component state, and Angular recalculates what should appear on screen.	angular mental-model fundamentals
What is the usual Angular update flow?	A component holds state, the template reads it, the user interacts, the component updates state, and Angular updates the rendered output.	angular mental-model fundamentals
Why is TypeScript especially useful in Angular?	Because Angular apps often have structured models, typed forms, reusable component APIs, and services that benefit from explicit contracts.	angular typescript fundamentals
What is a TypeScript interface used for in Angular?	To define the shape of application data so code is safer, clearer, and easier to refactor.	angular typescript models
What is a component in Angular?	The main building block of the UI, usually combining a TypeScript class, an HTML template, and optional CSS.	angular components fundamentals
What does a component class usually own?	UI state, event handling, derived values used by the template, and orchestration of service calls or shared state.	angular components design
What logic usually should not stay inside a component?	Repeated business logic, low-level persistence details, and application-wide infrastructure concerns.	angular components design
What is a standalone component?	A component that declares its own Angular dependencies directly and does not need an NgModule.	angular standalone fundamentals
Why do standalone components reduce indirection?	Because the component directly lists what it imports instead of depending on a separate NgModule declaration.	angular standalone design
What does bootstrapApplication do?	It starts Angular and uses a specified component as the root of the application.	angular bootstrap fundamentals
What is ApplicationConfig used for?	To register application-level configuration such as providers, routing, or HTTP setup.	angular bootstrap config
What is an Angular template?	A declarative HTML-based view that describes what should appear based on component state.	angular templates fundamentals
What is interpolation in Angular?	Using {{ ... }} to display a component value as text in the template.	angular templates interpolation
What is property binding in Angular?	Passing a component value into a DOM or component property, such as [disabled]="isSaving".	angular templates binding
What is event binding in Angular?	Listening to browser or component events with syntax like (click)="save()".	angular templates events
What is two-way binding in Angular?	A combination of reading a value from the component and writing changes back to it, commonly via [(ngModel)].	angular templates forms
What does [(ngModel)] do?	It keeps a form input and a component property synchronized in both directions.	angular forms template-driven
What modern control flow blocks does Angular provide?	@if and @for.	angular templates control-flow
What does @if do?	It conditionally renders a block of template content based on an expression.	angular templates control-flow
What does @for do?	It renders repeated template content from a collection.	angular templates control-flow
What is source state in Angular?	The core stored state of the component, such as an array of items, a selected id, or a loading flag.	angular state fundamentals
What is derived state in Angular?	State calculated from source state, such as filtered lists, counts, or selected objects.	angular state fundamentals
